"","Family","ID","Sex","Treatment","Size","Eclosion","Censored","Lifespan","Activity","Block","Assay","Trial","Chamber","StartTime","Session","age_at_flight","total_distance","total_duration","total_avg_speed","total_peak_speed","marathon_flights","long_flights","medium_flights","short_flights","skip_flights","trial_length"
"152","xN","xN8","F","B","5.483333333","06/03/2022",1,97,"Flight","C",1,"24/03/2022","B","14:16","30",18,4858.48,6421.318203,0.756617231,"2.945388843",0,0,3,14,36,14399.99717
"153","xO","xO7","F","B","5.126666667","06/03/2022",1,97,"Waiting","C",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","xB","xB6","F","B","5.606666667","28/02/2022",1,96,"Flight","B",1,"17/03/2022","D","14:48","17",17,33.44,80.21556091,0.416876721,"0.644105424",0,0,0,1,0,14399.99762
"155","xD","xD14","F","A","4.576666667","28/02/2022",1,96,"Flight","B",1,"17/03/2022","G","09:11","16",17,0,0,NA,"#NAME?",0,0,0,0,0,14394.37635
"156","xF","xF6","F","B","4.39","28/02/2022",1,96,"Flight","B",1,"13/03/2022","G","09:48","12",13,0,0,NA,"#NAME?",0,0,0,0,0,13955.3858
"157","xC","xC9","M","B","5.986666667","28/02/2022",1,96,"Flight","B",1,"11/03/2022","F","09:12","8",11,610.72,913.682173,0.668416237,"1.753313313",0,0,0,5,12,14399.99349
"158","xF","xF11","M","B","5.153333333","28/02/2022",1,96,"Waiting","B",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","xBE","xBE11","M","A","4.263333333","03/06/2022",1,95,"Flight","G",1,"15/06/2022","D","09:53","57",12,3176.8,10181.57025,0.31201474,"1.161262688",0,1,1,21,40,14399.93202
"160","xS","xS1","M","A","3.91","09/03/2022",1,94,"Flight","D",1,"20/03/2022","A","12:56","23",11,411.84,1367.090479,0.301252921,"0.967191252",0,0,0,8,5,14399.98775
"161","xI","xI5","M","A","4.59","06/03/2022",1,94,"Flight","C",1,"17/03/2022","A","14:48","17",11,3109.04,6779.69348,0.458581204,"1.253971979",0,0,4,11,7,14399.99762
"162","xE","xE13","F","A","4.44","28/02/2022",1,93,"Flight","B",1,"15/03/2022","B","14:00","14",15,743.6,1628.624677,0.456581563,"1.094971368",0,0,0,10,15,14399.98205
"163","xE","xE9","F","A","4.44","28/02/2022",1,93,"Flight","B",1,"13/03/2022","D","14:09","13",13,7.04,33.71424603,0.208813805,"0.299952282",0,0,0,0,1,14399.98794
"164","xG","xG5","F","A","4.196666667","28/02/2022",1,93,"Waiting","B",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","xB","xB13","F","A","5.07","28/02/2022",1,92,"Flight","B",1,"20/03/2022","D","12:56","23",20,1242.56,1663.63243,0.746895755,"1.879654603",0,0,1,3,1,14399.98775
"166","xE","xE1","M","B","5.613333333","28/02/2022",1,92,"Flight","B",1,"15/03/2022","A","14:00","14",15,1529.44,2749.483619,0.556264452,"1.658252957",0,0,0,14,45,14399.98205
"167","xT","xT7","M","B","5.023333333","09/03/2022",1,91,"Flight","D",1,"23/03/2022","A","08:47","27",14,526.24,686.0360634,0.767073377,"1.546540518",0,0,0,3,3,14399.58746
"168","xS","xS2","F","A","4.226666667","09/03/2022",1,91,"Waiting","D",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","xBE","xBE14","M","A","4.133333333","03/06/2022",1,90,"Flight","G",1,"22/06/2022","G","12:11","68",19,0,0,NA,"#NAME?",0,0,0,0,0,2584.229058
"170","xN","xN4","F","B","5.473333333","06/03/2022",1,90,"Flight","C",1,"19/03/2022","C","09:17","20",13,9049.04,12380.02138,0.730938964,"1.945585372",0,0,5,11,11,14399.98326
"171","xN","xN1","M","B","5.363333333","06/03/2022",1,90,"Waiting","C",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","xK","xK9","M","A","4.416666667","06/03/2022",1,90,"Waiting","C",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","xK","xK4","M","A","4.25","06/03/2022",1,90,"Waiting","C",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","xM","xM6","F","A","3.9","06/03/2022",1,90,"Waiting","C",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","xBC","xBC6","F","A","4.116666667","02/06/2022",1,89,"Flight","G",1,"21/06/2022","B","11:49","65",19,884.4,1875.20243,0.471629082,"1.125606154",0,0,1,7,14,14397.57499
"176","xBG","xBG3","M","A","4.003333333","02/06/2022",1,89,"Flight","G",1,"21/06/2022","C","11:49","65",19,4304.08,12530.00976,0.343501728,"0.949473857",0,0,3,31,38,14397.57499
"177","xAI","xAI3","F","A","4.073333333","25/03/2022",1,89,"Flight","F",1,"08/04/2022","G","14:28","52",14,6618.48,11105.71947,0.595952385,"1.318671835",0,1,2,1,14,14399.63525
"178","xAK","xAK4","F","A","3.91","25/03/2022",1,89,"Flight","F",1,"06/04/2022","B","09:40","49",12,2246.64,9121.882175,0.246291276,"0.923392793",0,0,3,21,60,13246.21065
"179","xA","xA4","M","B","5.593333333","28/02/2022",1,89,"Flight","B",1,"20/03/2022","G","08:38","22",20,8070.48,11870.41856,0.67988167,"1.87171461",0,0,6,6,0,14399.97864
"180","xD","xD12","F","A","4.23","28/02/2022",1,89,"Flight","B",1,"20/03/2022","F","08:38","22",20,118.8,360.2418671,0.329778437,"1.188956269",0,0,0,2,2,14399.97864
"181","xB","xB15","M","A","5.62","28/02/2022",1,89,"Flight","B",1,"11/03/2022","E","14:30","9",11,2211.44,6680.487799,0.331029719,"1.307226326",0,0,3,10,39,14358.02017
"182","xP","xP7","F","B","4.196666667","06/03/2022",1,87,"Flight","C",1,"26/03/2022","B","09:02","33",20,8299.28,10618.57936,0.781581012,"1.659867462",1,0,0,0,0,14399.99041
"183","xJ","xJ3","F","A","4.44","06/03/2022",1,87,"Flight","C",1,"25/03/2022","E","14:44","32",19,3587.76,9040.961887,0.396833882,"1.372039342",0,1,1,8,16,14399.99956
"184","xL","xL8","F","A","4.096666667","06/03/2022",1,87,"Flight","C",1,"25/03/2022","D","10:20","31",19,1319.12,3032.551051,0.434986906,"1.336542901",0,0,1,10,15,14399.99035
"185","xI","xI1","M","A","4.583333333","06/03/2022",1,87,"Flight","C",1,"23/03/2022","E","08:47","27",17,608.08,1735.894829,0.35029772,"1.090792457",0,0,0,5,1,14399.58746
"186","xM","xM8","F","B","5.223333333","06/03/2022",1,87,"Waiting","C",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","xS","xS10","F","B","5.186666667","09/03/2022",1,87,"Waiting","D",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","xS","xS9","M","B","4.633333333","09/03/2022",1,87,"Waiting","D",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","xS","xS7","M","B","4.203333333","09/03/2022",1,87,"Waiting","D",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","xP","xP1","F","B","4.13","06/03/2022",1,87,"Waiting","C",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","xS","xS14","M","B","4.123333333","09/03/2022",1,87,"Waiting","D",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","xP","xP12","M","A","3.416666667","06/03/2022",1,87,"Waiting","C",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","xAX","xAX8","M","A","4.196666667","02/06/2022",1,86,"Flight","G",1,"20/06/2022","G","10:00","63",18,766.48,773.944983,0.990354634,"1.85695582",0,0,0,2,4,14399.2411
"194","xAW","xAW1","M","B","5.256666667","02/06/2022",1,86,"Flight","G",1,"12/06/2022","E","09:20","54",10,41.36,185.777822,0.222631526,"1.582929996",0,0,0,1,7,14399.97932
"195","xAH","xAH2","F","A","4.216666667","25/03/2022",1,86,"Flight","F",1,"08/04/2022","G","09:40","51",14,2541.44,4564.872274,0.556738469,"1.503335379",0,0,1,8,86,14399.98694
"196","xAK","xAK3","M","A","3.703333333","25/03/2022",1,86,"Flight","F",1,"05/04/2022","G","11:55","46b",11,5908.32,13147.49883,0.449387376,"0.949010265",1,0,3,1,0,14399.99504
"197","xE","xE3","F","B","5.683333333","28/02/2022",1,86,"Flight","B",1,"20/03/2022","A","08:38","22",20,336.16,836.4956591,0.401866999,"1.184794366",0,0,1,0,1,14399.97864
"198","xH","xH3","M","A","4.18","28/02/2022",1,86,"Flight","B",1,"20/03/2022","D","08:36","22",20,217.36,422.7106333,0.514205186,"1.059086227",0,0,0,2,0,14399.97864
"199","xD","xD8","F","B","5.54","28/02/2022",1,86,"Flight","B",1,"18/03/2022","G","09:12","18",18,3004.32,3156.97191,0.951646098,"2.411366794",0,0,1,9,4,14399.99413
"200","xE","xE10","F","A","4.7","28/02/2022",1,86,"Flight","B",1,"13/03/2022","E","14:09","13",13,463.76,1144.652455,0.405153545,"1.242922045",0,0,0,8,11,14399.98794
"201","xH","xH11","M","B","4.993333333","28/02/2022",1,86,"Flight","B",1,"12/03/2022","C","08:38","10",12,161.92,546.2710052,0.296409655,"1.202852808",0,0,0,3,2,14399.93318
"202","xC","xC10","F","B","5.563333333","28/02/2022",1,86,"Flight","B",1,"11/03/2022","E","09:12","8",11,1194.16,3811.054647,0.313341086,"1.236036779",0,0,0,18,23,14399.99349
"203","xC","xC6","F","A","5.146666667","28/02/2022",1,86,"Flight","B",1,"10/03/2022","A","14:05","7",10,903.76,1692.284159,0.534047427,"1.177077782",0,0,1,3,0,14399.99063
"204","xA","xA10","M","A","4.72","28/02/2022",1,86,"Waiting","B",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","xAH","xAH9","F","A","4.383333333","25/03/2022",1,86,"Waiting","F",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","xAG","xAG8","F","A","4.243333333","25/03/2022",1,86,"Waiting","F",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","xBF","xBF6","M","A","3.24","02/06/2022",1,86,"Waiting","G",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","xBK","xBK7","M","B","3.563333333","03/06/2022",1,85,"Flight","G",1,"17/06/2022","A","15:55","60",14,7790.64,9333.180405,0.834725106,"1.486293126",0,0,4,6,9,14399.26906
"209","xAY","xAY1","M","A","4.273333333","03/06/2022",1,85,"Flight","G",1,"17/06/2022","F","10:36","59",14,7087.52,11946.13292,0.5932899,"1.779078963",1,0,1,2,6,14399.98123
"210","xBJ","xBJ6","F","A","4.183333333","03/06/2022",1,85,"Waiting","G",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","xAG","xAG11","F","B","5.663333333","27/03/2022",1,84,"Waiting","F",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","xAJ","xAJ14","F","B","5.623333333","27/03/2022",1,84,"Waiting","F",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","xAI","xAI13","M","B","5.44","27/03/2022",1,84,"Waiting","F",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","xAI","xAI19","M","B","5.303333333","27/03/2022",1,84,"Waiting","F",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","xR","xR2","M","B","4.983333333","09/03/2022",1,84,"Waiting","D",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","xAH","xAH12","M","B","4.94","27/03/2022",1,84,"Waiting","F",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","xAK","xAK11","M","B","4.59","27/03/2022",1,84,"Waiting","F",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","xBD","xBD1","M","A","4.1","02/06/2022",1,83,"Flight","G",1,"21/06/2022","G","07:25","64",19,0,0,NA,"#NAME?",0,0,0,0,0,14399.99128
"219","xBA","xBA3","F","A","3.823333333","02/06/2022",1,83,"Flight","G",1,"21/06/2022","D","07:25","64",19,13450.8,14298.6043,0.940707199,"1.556656858",1,0,1,1,1,14399.99128
"220","xR","xR8","M","A","4.646666667","09/03/2022",1,83,"Flight","D",1,"29/03/2022","D","14:15","37",20,9813.76,13059.9143,0.751441378,"1.717127331",0,1,5,2,2,14399.98732
"221","xM","xM1","F","A","3.873333333","06/03/2022",1,83,"Flight","C",1,"18/03/2022","E","09:12","18",12,26.4,70.66178823,0.373610698,"1.476564518",0,0,0,0,5,14399.99413
"222","xO","xO8","M","B","5.473333333","06/03/2022",1,83,"Flight","C",1,"16/03/2022","D","10:11","15",10,3136.32,8646.746558,0.362716772,"1.422275162",0,0,2,39,30,14399.99573
"223","xAW","xAW12","M","A","4.313333333","02/06/2022",1,83,"Waiting","G",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","xK","xK5","M","A","4.3","06/03/2022",1,83,"Waiting","C",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","xAW","xAW10","M","A","4.2","02/06/2022",1,83,"Waiting","G",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","xAW","xAW9","M","A","4.05","02/06/2022",1,83,"Waiting","G",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","xBK","xBK3","M","B","3.596666667","03/06/2022",1,82,"Flight","G",1,"17/06/2022","B","15:55","60",14,2386.56,8927.945057,0.267313473,"1.38337157",0,0,1,39,59,14399.26906
"228","xBB","xBB4","M","B","4.79","03/06/2022",1,82,"Flight","G",1,"15/06/2022","A","15:35","58",12,2679.6,3380.051065,0.792769088,"1.808574426",0,0,1,14,34,14399.76479
"229","xAH","xAH5","F","A","4.083333333","25/03/2022",1,82,"Flight","F",1,"08/04/2022","D","09:40","51",14,1821.6,5856.629374,0.311032146,"1.660230319",0,0,1,25,16,14399.98694
"230","xAH","xAH4","M","A","3.81","25/03/2022",1,82,"Flight","F",1,"08/04/2022","E","09:40","51",14,2875.84,6563.450486,0.438159777,"1.111282315",0,0,1,29,23,14399.98694
"231","xAG","xAG1","M","A","4.166666667","25/03/2022",1,82,"Flight","F",1,"06/04/2022","C","09:40","49",12,3211.12,6716.692643,0.478080533,"1.396388642",0,0,1,34,33,13246.21065
"232","xAJ","xAJ5","F","A","4.166666667","25/03/2022",1,82,"Flight","F",1,"05/04/2022","E","14:25","48",11,3779.6,10066.85564,0.375449906,"1.666638454",0,0,1,41,19,14399.99508
"233","xH","xH2","F","A","4.253333333","28/02/2022",1,82,"Flight","B",1,"20/03/2022","E","08:38","22",20,56.32,152.7133,0.368795645,"1.593620454",0,0,0,1,4,14399.97864
"234","xC","xC8","F","B","5.75","28/02/2022",1,82,"Flight","B",1,"19/03/2022","C","13:50","21",19,8655.68,12881.41849,0.671950842,"2.018339291",1,0,3,6,3,14399.97884
"235","xB","xB11","M","A","4.52","28/02/2022",1,82,"Flight","B",1,"11/03/2022","G","14:30","9",11,11.44,21.33569884,0.536190545,"1.100984094",0,0,0,0,2,14358.02017
"236","xC","xC5","M","A","4.613333333","28/02/2022",1,82,"Flight","B",1,"10/03/2022","B","14:05","7",10,9644.8,13961.5056,0.690813747,"1.898732315",1,0,3,0,1,14399.99063
"237","xAX","xAX13","M","B","5.053333333","03/06/2022",1,82,"Waiting","G",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","xBK","xBK5","M","B","4.113333333","03/06/2022",1,82,"Waiting","G",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","xAH","xAH10","M","B","5.363333333","27/03/2022",1,80,"Flight","F",1,"08/04/2022","C","09:40","51",12,13082.96,14298.25013,0.915004275,"1.483814675",1,0,0,0,0,14399.98694
"240","xAJ","xAJ7","M","B","5.206666667","27/03/2022",1,80,"Flight","F",1,"05/04/2022","D","14:25","48",9,61.6,333.605521,0.184649222,"1.355474734",0,0,0,1,13,14399.99508
"241","xO","xO4","M","B","5.24","06/03/2022",1,80,"Flight","C",1,"24/03/2022","A","09:15","29",18,3062.4,5554.131146,0.551373369,"1.710252151",0,0,3,11,7,14398.99197
"242","xP","xP9","F","B","4.176666667","06/03/2022",1,80,"Flight","C",1,"23/03/2022","G","13:25","28",17,193.6,344.5650339,0.561867807,"1.07183357",0,0,0,1,0,14399.99537
"243","xI","xI3","M","A","4.413333333","06/03/2022",1,80,"Flight","C",1,"23/03/2022","B","08:47","27",17,7882.16,12989.22836,0.606822806,"1.652792974",0,2,1,4,3,14399.58746
"244","xN","xN10","F","B","5.456666667","06/03/2022",1,80,"Waiting","C",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","xN","xN6","F","B","5.283333333","06/03/2022",1,80,"Waiting","C",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","xQ","xQ14","F","A","3.7","09/03/2022",1,80,"Waiting","D",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","xBH","xBH4","M","A","3.813333333","02/06/2022",1,79,"Flight","G",1,"22/06/2022","A","16:55","69",20,6822.64,8300.686169,0.821936869,"1.492656606",1,0,0,2,0,14397.36433
"248","xAI","xAI17","M","B","5.283333333","27/03/2022",1,79,"Flight","F",1,"07/04/2022","B","09:43","50",11,5488.56,9008.340144,0.609275395,"1.928116442",0,1,1,11,75,14399.99207
"249","xBF","xBF13","F","B","5.086666667","03/06/2022",1,78,"Flight","G",1,"15/06/2022","D","15:35","58",12,1449.36,2002.604524,0.723737504,"1.822730589",0,0,1,4,18,14399.76479
"250","xBK","xBK4","F","B","3.85","03/06/2022",1,78,"Flight","G",1,"12/06/2022","G","13:57","55",9,12970.32,13957.66714,0.929261306,"1.654508841",1,0,0,0,0,14399.99663
"251","xAG","xAG3","M","A","4.166666667","25/03/2022",1,78,"Flight","F",1,"06/04/2022","G","09:40","49",12,326.48,482.9082189,0.676070498,"1.230027407",0,0,0,2,1,13246.21065
"252","xAK","xAK8","F","A","4.146666667","25/03/2022",1,78,"Flight","F",1,"06/04/2022","E","09:40","49",12,4657.84,10115.21068,0.460478793,"1.558617045",0,0,6,18,28,13246.21065
"253","xAJ","xAJ6","F","A","4.146666667","25/03/2022",1,78,"Flight","F",1,"05/04/2022","F","14:25","48",11,8805.28,12992.50244,0.677720096,"1.4437851",1,0,0,0,0,14399.99508
"254","xAJ","xAJ4","M","A","3.733333333","25/03/2022",1,78,"Flight","F",1,"05/04/2022","C","14:25","48",11,99.44,484.7277212,0.205146097,"2.886382438",0,0,0,2,14,14399.99508
"255","xAH","xAH1","M","A","3.796666667","25/03/2022",1,78,"Flight","F",1,"05/04/2022","A","11:55","46b",11,721.6,1377.102527,0.523998748,"1.236531616",0,0,0,5,17,14399.99504
"256","xAK","xAK1","M","A","3.72","25/03/2022",1,78,"Flight","F",1,"05/04/2022","E","11:55","46b",11,0,0,NA,"#NAME?",0,0,0,0,0,14399.99504
"257","xBE","xBE13","M","A","4.106666667","03/06/2022",1,78,"Waiting","G",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","xAK","xAK7","M","A","4.003333333","25/03/2022",1,78,"Waiting","F",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","xAI","xAI6","M","A","3.993333333","25/03/2022",1,78,"Waiting","F",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","xT","xT5","M","B","5.25","09/03/2022",1,77,"Flight","D",1,"22/03/2022","A","13:25","26",13,2038.08,2554.714309,0.797772179,"2.295504453",0,0,2,1,7,14399.99677
"261","xT","xT2","F","B","5.296666667","09/03/2022",1,77,"Flight","D",1,"20/03/2022","E","12:56","23",11,4678.96,10106.29156,0.462974967,"1.517272764",0,0,3,28,18,14399.98775
"262","xS","xS5","M","A","3.726666667","09/03/2022",1,77,"Waiting","D",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","xAK","xAK13","M","B","5.243333333","27/03/2022",1,76,"Flight","F",1,"06/04/2022","F","09:40","49",10,7121.84,10470.19842,0.680201054,"2.013163066",1,0,1,1,13,13246.21065
"264","xN","xN12","M","A","4.423333333","06/03/2022",1,76,"Flight","C",1,"24/03/2022","E","14:16","30",18,8915.28,10745.74207,0.829656988,"1.891557924",0,0,5,8,16,14399.99717
"265","xP","xP3","F","B","4.006666667","06/03/2022",1,76,"Flight","C",1,"22/03/2022","G","13:25","26",16,0,0,NA,"#NAME?",0,0,0,0,0,14399.99677
"266","xAX","xAX3","F","A","4.33","02/06/2022",1,75,"Flight","G",1,"20/06/2022","E","10:00","63",18,540.32,639.6014609,0.844776057,"1.562699792",0,0,0,3,5,14399.2411
"267","xBI","xBI6","F","A","4.56","02/06/2022",1,75,"Flight","G",1,"19/06/2022","C","14:45","62",17,7678,10633.57014,0.722052885,"1.637782778",0,0,5,4,19,14399.99936
"268","xAI","xAI4","M","A","4.186666667","25/03/2022",1,75,"Flight","F",1,"07/04/2022","F","09:43","50",13,1460.8,2104.385789,0.694169295,"1.464094854",0,0,0,6,19,14399.99207
"269","xF","xF1","M","A","4.093333333","28/02/2022",1,75,"Flight","B",1,"18/03/2022","G","14:10","19",18,1817.2,4284.439457,0.424139498,"1.27610387",0,0,3,8,6,14399.99859
"270","xF","xF2","F","A","3.79","28/02/2022",1,75,"Flight","B",1,"18/03/2022","F","14:10","19",18,528.88,1242.993427,0.425488976,"1.213754945",0,0,1,2,2,14399.99859
"271","xH","xH6","F","B","5.043333333","28/02/2022",1,75,"Flight","B",1,"12/03/2022","G","13:15","11",12,5.28,6.437180996,0.820234821,"0.879133297",0,0,0,0,1,11203.84677
"272","xBI","xBI5","M","A","4.496666667","02/06/2022",1,75,"Waiting","G",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","xBG","xBG4","F","A","3.99","02/06/2022",1,75,"Waiting","G",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274","xBG","xBG11","F","B","5.293333333","03/06/2022",1,74,"Flight","G",1,"22/06/2022","C","12:11","68",19,417.12,630.358058,0.661719153,"1.841543649",0,0,0,4,2,2584.229058
"275","xBJ","xBJ4","M","A","4.726666667","03/06/2022",1,74,"Flight","G",1,"19/06/2022","G","14:45","62",16,10463.2,13412.27455,0.780121221,"1.803652626",0,0,8,11,1,14399.99936
"276","xBH","xBH14","M","B","5.47","03/06/2022",1,74,"Waiting","G",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277","xAZ","xAZ3","F","B","5.363333333","03/06/2022",1,74,"Waiting","G",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278","xR","xR7","F","A","4.78","09/03/2022",1,73,"Flight","D",1,"29/03/2022","C","14:15","37",20,7528.4,11035.37335,0.68220619,"2.056727947",0,0,4,16,2,14399.98732
"279","xR","xR3","F","B","5.25","09/03/2022",1,73,"Flight","D",1,"23/03/2022","A","13:25","28",14,2628.56,5300.735594,0.495885892,"1.660083216",0,0,3,12,14,14399.99537
"280","xR","xR4","F","B","5.243333333","09/03/2022",1,73,"Flight","D",1,"23/03/2022","C","13:25","28",14,6720.56,10336.20611,0.650196013,"1.679427746",0,0,5,10,11,14399.99537
"281","xAG","xAG10","M","B","5.743333333","27/03/2022",1,73,"Waiting","F",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282","xS","xS12","F","B","4.69","09/03/2022",1,73,"Waiting","D",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283","xQ","xQ1","M","B","4.31","09/03/2022",1,73,"Waiting","D",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284","xS","xS4","F","A","4.186666667","09/03/2022",1,73,"Waiting","D",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285","xBH","xBH3","F","A","3.8","02/06/2022",1,72,"Flight","G",1,"19/06/2022","A","14:45","62",17,707.52,1334.604038,0.530134767,"1.596832593",0,0,0,4,18,14399.99936
"286","xBH","xBH1","M","A","3.84","02/06/2022",1,72,"Flight","G",1,"18/06/2022","C","10:13","61",16,910.8,2073.510137,0.439255147,"1.379967824",0,0,0,9,12,14130.90753
"287","xBI","xBI1","M","A","3.686666667","02/06/2022",1,72,"Flight","G",1,"17/06/2022","D","15:55","60",15,4391.2,8391.294803,0.523304222,"1.219066221",0,0,3,16,7,14399.26906
"288","xAW","xAW7","M","A","4.503333333","02/06/2022",1,72,"Flight","G",1,"17/06/2022","A","10:36","59",15,565.84,843.6541746,0.670701357,"1.247809318",0,0,0,3,7,14399.98123
"289","xBK","xBK10","F","A","5.116666667","02/06/2022",1,72,"Flight","G",1,"14/06/2022","E","11:25","56",12,1965.04,2984.114069,0.658500297,"1.860496806",0,0,1,10,12,14399.59146
"290","xBK","xBK9","F","A","4.85","02/06/2022",1,72,"Flight","G",1,"14/06/2022","F","11:25","56",12,5588.88,13345.45056,0.418785411,"1.3808992",0,1,1,19,17,14399.59146
"291","xL","xL9","F","A","4.16","06/03/2022",1,72,"Flight","C",1,"25/03/2022","A","10:20","31",19,517.44,898.6987607,0.575765788,"1.442684097",0,0,0,3,0,14399.99035
"292","xB","xB8","F","B","5.483333333","28/02/2022",1,72,"Flight","B",1,"18/03/2022","C","14:10","19",18,8162.88,12036.10828,0.678199283,"1.981420175",0,0,8,11,7,14399.99859
"293","xC","xC11","M","B","5.533333333","28/02/2022",1,72,"Flight","B",1,"11/03/2022","D","09:12","8",11,66,96.14864063,0.686437162,"1.360901804",0,0,0,0,5,14399.99349
"294","xB","xB9","F","B","5.523333333","28/02/2022",1,72,"Flight","B",1,"11/03/2022","G","09:12","8",11,11088.88,13586.74264,0.816154416,"1.972646616",0,1,4,0,1,14399.99349
"295","xC","xC1","M","A","5.036666667","28/02/2022",1,72,"Flight","B",1,"10/03/2022","D","14:05","7",10,126.72,260.9449377,0.485619691,"1.20538848",0,0,0,2,7,14399.99063
"296","xF","xF8","F","B","4.943333333","28/02/2022",1,72,"Waiting","B",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297","xBG","xBG1","M","A","4.17","02/06/2022",1,72,"Waiting","G",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"298","xBD","xBD3","M","A","4.156666667","02/06/2022",1,72,"Waiting","G",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"299","xBC","xBC5","M","A","3.916666667","02/06/2022",1,72,"Waiting","G",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300","xBJ","xBJ5","F","A","4.693333333","03/06/2022",1,71,"Flight","G",1,"21/06/2022","F","11:49","65",18,9888.56,12462.19575,0.793484567,"1.700890042",0,0,7,8,3,14397.57499
"301","xBI","xBI12","F","B","5.203333333","03/06/2022",1,71,"Flight","G",1,"19/06/2022","B","14:45","62",16,12995.84,12650.95613,1.027261486,"2.097601316",0,0,7,13,9,14399.99936
"302","xAZ","xAZ7","M","A","4.366666667","03/06/2022",1,71,"Flight","G",1,"17/06/2022","C","10:36","59",14,792.88,1840.203999,0.430865274,"1.45575129",0,0,0,12,20,14399.98123
